Model,Type,Main Metric,Accuracy,F1 Macro,F1 Weighted,NLL,ECE,MSE,MAE,Train Time (s),Pred Time (s),Memory (MB)
RandomForestClassifier_Clas,classifica,Acc: 0.9115,0.9115,0.9126,0.9118,0.2519,0.0765,N/A,N/A,2.02,0.017,739
GradientBoostingClassifier_Clas,classifica,Acc: 0.8780,0.8780,0.8770,0.8779,0.3112,0.0985,N/A,N/A,11.54,0.007,758
SVM_Clas,classifica,Acc: 0.8146,0.8146,0.8114,0.8122,0.4420,0.1355,N/A,N/A,3.62,0.136,769
KNeighborsClassifier_Clas,classifica,Acc: 0.9043,0.9043,0.9056,0.9045,0.5904,0.0518,N/A,N/A,0.01,0.018,770
RandomForestRegressor_Reg,regression,R²: 0.9498,0.7679,0.2445,0.7754,N/A,N/A,6.5236,0.5112,7.31,0.035,784
RidgeRegression_Reg,regression,R²: 0.6822,0.1722,0.0377,0.2274,N/A,N/A,41.3258,4.1383,0.00,0.000,788
LinearRegression_Reg,regression,R²: 0.6824,0.1711,0.0366,0.2249,N/A,N/A,41.3067,4.1405,0.00,0.000,788
SVR_Reg,regression,R²: 0.8378,0.6077,0.1179,0.6270,N/A,N/A,21.0963,1.5939,1.72,0.175,789
TabPFN_Clas,classifica,Acc: 0.9318,0.9318,0.9324,0.9318,0.1725,0.0341,N/A,N/A,0.53,2.775,1696
TabPFN_Reg,regression,R²: 0.9564,0.8194,0.3271,0.8168,N/A,N/A,5.6735,0.3596,0.39,1.035,1793
RandomForest_Optimized,classifica,Acc: 0.9187,0.9187,0.9230,0.9190,0.2207,0.0794,N/A,N/A,5.32,0.036,1859
GradientBoosting_Optimized,classifica,Acc: 0.9175,0.9175,0.9198,0.9180,0.3247,0.1220,N/A,N/A,87.08,0.033,1859
SVM_Optimized,classifica,Acc: 0.8182,0.8182,0.8241,0.8197,0.4021,0.1349,N/A,N/A,5.70,0.137,1895
RandomForestReg_Optimized,regression,R²: 0.9498,0.7667,0.2470,0.7724,N/A,N/A,6.5316,0.5088,13.39,0.054,1901
SVR_Optimized,regression,R²: 0.8612,0.6124,0.1067,0.6319,N/A,N/A,18.0568,1.4531,1.74,0.171,1907
